,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
0,Berlevag,64,NO,03/24/2019,100,28.11,70.86,29.09,17.47
1,Punta Arenas,68,CL,03/24/2019,57,51.8,-53.16,-70.91,21.92
2,Bathsheba,75,BB,03/24/2019,83,77.0,13.22,-59.52,14.99
3,Kayes,48,ML,03/24/2019,41,84.45,14.44,-11.44,7.63
4,Vardo,1,US,03/24/2019,18,62.6,39.62,-77.74,3.36
5,Qaanaaq,0,GL,03/24/2019,74,-25.36,77.48,-69.36,6.96
6,Jamestown,76,AU,03/24/2019,72,58.71,-33.21,138.6,16.35
7,Namibe,0,AO,03/24/2019,100,76.89,-15.19,12.15,8.41
8,Port Elizabeth,1,US,03/24/2019,35,59.0,39.31,-74.98,5.82
9,Bluff,12,AU,03/24/2019,62,83.1,-23.58,149.07,5.73
10,Chuy,0,UY,03/24/2019,77,63.57,-33.69,-53.46,16.69
11,Lakes Entrance,68,AU,03/24/2019,49,73.99,-37.88,147.99,13.56
12,Ushuaia,75,AR,03/24/2019,40,53.6,-54.81,-68.31,11.41
13,Skala,0,GR,03/24/2019,81,55.99,36.85,22.66,6.93
14,Bunia,24,CD,03/24/2019,90,62.85,1.56,30.25,1.92
15,Barrow,92,AR,03/24/2019,83,56.91,-38.31,-60.23,13.0
16,Luderitz,20,NA,03/24/2019,92,58.8,-26.65,15.16,12.55
17,Chumikan,0,RU,03/24/2019,57,13.53,54.72,135.31,3.6
18,Tuatapere,92,NZ,03/24/2019,87,66.0,-46.13,167.69,1.99
19,Nuuk,92,GL,03/24/2019,96,32.0,64.17,-51.74,18.34
20,Alofi,24,NU,03/24/2019,51,86.0,-19.06,-169.92,14.99
21,Cidreira,20,BR,03/24/2019,69,72.03,-30.17,-50.22,10.54
22,Ribeira Grande,44,PT,03/24/2019,100,58.8,38.52,-28.7,2.15
23,Klaksvik,0,FO,03/24/2019,80,39.2,62.23,-6.59,12.75
24,At-Bashi,0,KG,03/24/2019,66,4.17,41.17,75.81,1.36
25,Hilo,90,US,03/24/2019,88,73.99,19.71,-155.08,4.7
26,Hasaki,40,JP,03/24/2019,65,46.4,35.73,140.83,9.17
27,Mataura,80,NZ,03/24/2019,87,66.0,-46.19,168.86,1.99
28,Auki,12,NG,03/24/2019,54,68.52,12.18,6.51,0.58
29,Comodoro Rivadavia,20,AR,03/24/2019,77,59.0,-45.87,-67.48,13.87
30,Yellowknife,20,CA,03/24/2019,53,28.99,62.45,-114.38,20.8
31,Constitucion,5,MX,03/24/2019,5,81.0,23.99,-104.67,9.17
32,Pisco,0,PE,03/24/2019,30,71.6,-13.71,-76.2,19.46
33,Bihariganj,0,IN,03/24/2019,71,63.3,25.73,86.98,1.92
34,Ushirombo,36,TZ,03/24/2019,88,64.92,-3.47,31.9,3.71
35,Yumen,0,CN,03/24/2019,49,29.1,40.29,97.04,8.41
36,Mikuni,75,JP,03/24/2019,78,51.8,36.22,136.15,11.41
37,Camopi,80,GF,03/24/2019,95,74.37,3.17,-52.33,3.15
38,Kodiak,90,US,03/24/2019,100,55.0,39.95,-94.76,14.99
39,Flinders,0,AU,03/24/2019,53,79.0,-34.58,150.85,17.22
40,Albany,75,US,03/24/2019,27,51.8,42.65,-73.75,10.29
41,Bayangol,0,MN,03/24/2019,67,16.86,48.91,106.09,3.04
42,Alyangula,40,AU,03/24/2019,83,84.2,-13.85,136.42,5.82
43,Pochutla,40,MX,03/24/2019,62,86.0,15.74,-96.47,11.41
44,Basoko,56,CD,03/24/2019,90,75.54,1.23,23.61,4.38
45,Presidente Epitacio,36,BR,03/24/2019,46,83.01,-21.76,-52.12,10.09
46,Pa Sang,12,TH,03/24/2019,72,78.01,18.53,98.94,2.24
47,Saldanha,0,PT,03/24/2019,59,46.38,41.42,-6.55,7.85
48,Fuerte Olimpo,0,BR,03/24/2019,58,81.48,-21.04,-57.87,8.19
49,Chaiyaphum,88,TH,03/24/2019,95,79.0,15.81,102.03,10.2
50,Maniitsoq,88,GL,03/24/2019,78,31.26,65.42,-52.9,10.76
51,Yerbogachen,0,RU,03/24/2019,67,-1.51,61.28,108.01,2.59
52,Boa Vista,0,BR,03/24/2019,34,93.2,2.82,-60.67,5.82
53,Nikolskoye,0,RU,03/24/2019,74,34.0,59.7,30.79,6.71
54,Lebu,40,ET,03/24/2019,36,64.4,8.96,38.73,6.93
55,Egvekinot,64,RU,03/24/2019,81,6.51,66.32,-179.17,4.61
56,Hofn,76,IS,03/24/2019,100,36.93,64.25,-15.21,8.97
57,Port Alfred,24,ZA,03/24/2019,94,71.01,-33.59,26.89,5.99
58,Bethel,90,US,03/24/2019,100,39.2,60.79,-161.76,21.92
59,Touros,20,BR,03/24/2019,83,82.4,-5.2,-35.46,5.82
60,New Norfolk,20,AU,03/24/2019,72,59.0,-42.78,147.06,25.28
61,Savannah Bight,12,HN,03/24/2019,100,78.96,16.45,-85.85,7.96
62,Portland,20,US,03/24/2019,38,63.0,45.52,-122.67,4.7
63,Busselton,0,AU,03/24/2019,48,51.01,-33.64,115.35,18.25
64,Saint-Francois,90,FR,03/24/2019,87,44.6,46.42,3.91,3.36
65,Dali,0,CN,03/24/2019,100,40.53,25.6,100.24,1.92
